Unnamed: 0,Region/Country/Area,Year,Series,Value,Latitude,Longitude
306,Antigua and Barbuda,2020,"Seats held by women in national parliament, as of February (%)",11.1,17.05,-61.8
307,Antigua and Barbuda,2021,"Seats held by women in national parliament, as of February (%)",11.1,17.05,-61.8
308,Antigua and Barbuda,2022,"Seats held by women in national parliament, as of February (%)",11.1,17.05,-61.8
309,Antigua and Barbuda,2023,"Seats held by women in national parliament, as of February (%)",11.1,17.05,-61.8
310,Argentina,2000,"Seats held by women in national parliament, as of February (%)",28,-34,-64
311,Argentina,2005,"Seats held by women in national parliament, as of February (%)",33.7,-34,-64
312,Argentina,2010,"Seats held by women in national parliament, as of February (%)",38.5,-34,-64
313,Argentina,2015,"Seats held by women in national parliament, as of February (%)",36.2,-34,-64
314,Argentina,2018,"Seats held by women in national parliament, as of February (%)",38.9,-34,-64
315,Argentina,2020,"Seats held by women in national parliament, as of February (%)",40.9,-34,-64
316,Argentina,2021,"Seats held by women in national parliament, as of February (%)",42.4,-34,-64
317,Argentina,2022,"Seats held by women in national parliament, as of February (%)",44.8,-34,-64
318,Argentina,2023,"Seats held by women in national parliament, as of February (%)",44.8,-34,-64
319,Armenia,2000,"Seats held by women in national parliament, as of February (%)",3.1,40,45
320,Armenia,2005,"Seats held by women in national parliament, as of February (%)",5.3,40,45
321,Armenia,2010,"Seats held by women in national parliament, as of February (%)",9.2,40,45
322,Armenia,2015,"Seats held by women in national parliament, as of February (%)",10.7,40,45
323,Armenia,2018,"Seats held by women in national parliament, as of February (%)",18.1,40,45
324,Armenia,2020,"Seats held by women in national parliament, as of February (%)",23.5,40,45
325,Armenia,2021,"Seats held by women in national parliament, as of February (%)",22.7,40,45
326,Armenia,2022,"Seats held by women in national parliament, as of February (%)",34.6,40,45
327,Armenia,2023,"Seats held by women in national parliament, as of February (%)",35.5,40,45
328,Australia,2000,"Seats held by women in national parliament, as of February (%)",22.4,-27,133
329,Australia,2005,"Seats held by women in national parliament, as of February (%)",24.7,-27,133
330,Australia,2010,"Seats held by women in national parliament, as of February (%)",27.3,-27,133
331,Australia,2015,"Seats held by women in national parliament, as of February (%)",26.7,-27,133
332,Australia,2018,"Seats held by women in national parliament, as of February (%)",28.7,-27,133
333,Australia,2020,"Seats held by women in national parliament, as of February (%)",30.5,-27,133
334,Australia,2021,"Seats held by women in national parliament, as of February (%)",31.1,-27,133
335,Australia,2022,"Seats held by women in national parliament, as of February (%)",31.1,-27,133
336,Australia,2023,"Seats held by women in national parliament, as of February (%)",38.4,-27,133
337,Austria,2000,"Seats held by women in national parliament, as of February (%)",26.8,47.33,13.33
338,Austria,2005,"Seats held by women in national parliament, as of February (%)",33.9,47.33,13.33
339,Austria,2010,"Seats held by women in national parliament, as of February (%)",27.9,47.33,13.33
340,Austria,2015,"Seats held by women in national parliament, as of February (%)",30.6,47.33,13.33
341,Austria,2018,"Seats held by women in national parliament, as of February (%)",34.4,47.33,13.33
342,Austria,2020,"Seats held by women in national parliament, as of February (%)",39.3,47.33,13.33
343,Austria,2021,"Seats held by women in national parliament, as of February (%)",39.9,47.33,13.33
344,Austria,2022,"Seats held by women in national parliament, as of February (%)",41.5,47.33,13.33
345,Austria,2023,"Seats held by women in national parliament, as of February (%)",40.4,47.33,13.33
346,Azerbaijan,2000,"Seats held by women in national parliament, as of February (%)",10.4,40.5,47.5
347,Azerbaijan,2005,"Seats held by women in national parliament, as of February (%)",10.5,40.5,47.5
348,Azerbaijan,2010,"Seats held by women in national parliament, as of February (%)",11.4,40.5,47.5
349,Azerbaijan,2015,"Seats held by women in national parliament, as of February (%)",15.6,40.5,47.5
350,Azerbaijan,2018,"Seats held by women in national parliament, as of February (%)",16.8,40.5,47.5
351,Azerbaijan,2020,"Seats held by women in national parliament, as of February (%)",16.8,40.5,47.5
352,Azerbaijan,2021,"Seats held by women in national parliament, as of February (%)",18.2,40.5,47.5
353,Azerbaijan,2022,"Seats held by women in national parliament, as of February (%)",18.3,40.5,47.5
354,Azerbaijan,2023,"Seats held by women in national parliament, as of February (%)",18.6,40.5,47.5
355,Bahamas,2000,"Seats held by women in national parliament, as of February (%)",15,24.25,-76
356,Bahamas,2005,"Seats held by women in national parliament, as of February (%)",20,24.25,-76
357,Bahamas,2010,"Seats held by women in national parliament, as of February (%)",12.2,24.25,-76
358,Bahamas,2015,"Seats held by women in national parliament, as of February (%)",13.2,24.25,-76
359,Bahamas,2018,"Seats held by women in national parliament, as of February (%)",12.8,24.25,-76
360,Bahamas,2020,"Seats held by women in national parliament, as of February (%)",12.8,24.25,-76
361,Bahamas,2021,"Seats held by women in national parliament, as of February (%)",12.8,24.25,-76
362,Bahamas,2022,"Seats held by women in national parliament, as of February (%)",18,24.25,-76
363,Bahamas,2023,"Seats held by women in national parliament, as of February (%)",18,24.25,-76
364,Bahrain,2005,"Seats held by women in national parliament, as of February (%)",0,26,50.55
365,Bahrain,2010,"Seats held by women in national parliament, as of February (%)",2.5,26,50.55
366,Bahrain,2015,"Seats held by women in national parliament, as of February (%)",7.5,26,50.55
367,Bahrain,2018,"Seats held by women in national parliament, as of February (%)",7.5,26,50.55
368,Bahrain,2020,"Seats held by women in national parliament, as of February (%)",15,26,50.55
369,Bahrain,2021,"Seats held by women in national parliament, as of February (%)",15,26,50.55
370,Bahrain,2022,"Seats held by women in national parliament, as of February (%)",15,26,50.55
371,Bahrain,2023,"Seats held by women in national parliament, as of February (%)",20,26,50.55
372,Bangladesh,2000,"Seats held by women in national parliament, as of February (%)",9.1,24,90
373,Bangladesh,2005,"Seats held by women in national parliament, as of February (%)",2,24,90
374,Bangladesh,2010,"Seats held by women in national parliament, as of February (%)",18.6,24,90
375,Bangladesh,2015,"Seats held by women in national parliament, as of February (%)",20,24,90
376,Bangladesh,2018,"Seats held by women in national parliament, as of February (%)",20.3,24,90
377,Bangladesh,2020,"Seats held by women in national parliament, as of February (%)",20.9,24,90
378,Bangladesh,2021,"Seats held by women in national parliament, as of February (%)",20.9,24,90
379,Bangladesh,2022,"Seats held by women in national parliament, as of February (%)",20.9,24,90
380,Bangladesh,2023,"Seats held by women in national parliament, as of February (%)",20.9,24,90
381,Barbados,2000,"Seats held by women in national parliament, as of February (%)",10.7,13.17,-59.53
382,Barbados,2005,"Seats held by women in national parliament, as of February (%)",13.3,13.17,-59.53
383,Barbados,2010,"Seats held by women in national parliament, as of February (%)",10,13.17,-59.53
384,Barbados,2015,"Seats held by women in national parliament, as of February (%)",16.7,13.17,-59.53
385,Barbados,2018,"Seats held by women in national parliament, as of February (%)",16.7,13.17,-59.53
386,Barbados,2020,"Seats held by women in national parliament, as of February (%)",20,13.17,-59.53
387,Barbados,2021,"Seats held by women in national parliament, as of February (%)",20,13.17,-59.53
388,Barbados,2022,"Seats held by women in national parliament, as of February (%)",20,13.17,-59.53
389,Barbados,2023,"Seats held by women in national parliament, as of February (%)",26.7,13.17,-59.53
390,Belarus,2000,"Seats held by women in national parliament, as of February (%)",9.1,53,28
391,Belarus,2005,"Seats held by women in national parliament, as of February (%)",29.4,53,28
392,Belarus,2010,"Seats held by women in national parliament, as of February (%)",31.8,53,28
393,Belarus,2015,"Seats held by women in national parliament, as of February (%)",27.3,53,28
394,Belarus,2018,"Seats held by women in national parliament, as of February (%)",34.5,53,28
395,Belarus,2020,"Seats held by women in national parliament, as of February (%)",40,53,28
396,Belarus,2021,"Seats held by women in national parliament, as of February (%)",40,53,28
397,Belarus,2022,"Seats held by women in national parliament, as of February (%)",40,53,28
398,Belarus,2023,"Seats held by women in national parliament, as of February (%)",40,53,28
399,Belgium,2000,"Seats held by women in national parliament, as of February (%)",23.3,50.83,4
400,Belgium,2005,"Seats held by women in national parliament, as of February (%)",34.7,50.83,4
401,Belgium,2010,"Seats held by women in national parliament, as of February (%)",38,50.83,4
402,Belgium,2015,"Seats held by women in national parliament, as of February (%)",39.3,50.83,4
403,Belgium,2018,"Seats held by women in national parliament, as of February (%)",38,50.83,4
404,Belgium,2020,"Seats held by women in national parliament, as of February (%)",40.7,50.83,4
405,Belgium,2021,"Seats held by women in national parliament, as of February (%)",42,50.83,4
406,Belgium,2022,"Seats held by women in national parliament, as of February (%)",42,50.83,4
407,Belgium,2023,"Seats held by women in national parliament, as of February (%)",42.7,50.83,4
408,Belize,2000,"Seats held by women in national parliament, as of February (%)",6.9,17.25,-88.75
409,Belize,2005,"Seats held by women in national parliament, as of February (%)",6.7,17.25,-88.75
410,Belize,2010,"Seats held by women in national parliament, as of February (%)",0,17.25,-88.75
411,Belize,2015,"Seats held by women in national parliament, as of February (%)",3.1,17.25,-88.75
412,Belize,2018,"Seats held by women in national parliament, as of February (%)",9.4,17.25,-88.75
413,Belize,2020,"Seats held by women in national parliament, as of February (%)",9.4,17.25,-88.75
414,Belize,2021,"Seats held by women in national parliament, as of February (%)",12.5,17.25,-88.75
415,Belize,2022,"Seats held by women in national parliament, as of February (%)",12.5,17.25,-88.75
416,Belize,2023,"Seats held by women in national parliament, as of February (%)",15.6,17.25,-88.75
417,Benin,2000,"Seats held by women in national parliament, as of February (%)",6,9.5,2.25
418,Benin,2005,"Seats held by women in national parliament, as of February (%)",7.2,9.5,2.25
419,Benin,2010,"Seats held by women in national parliament, as of February (%)",10.8,9.5,2.25
420,Benin,2015,"Seats held by women in national parliament, as of February (%)",8.4,9.5,2.25
421,Benin,2018,"Seats held by women in national parliament, as of February (%)",7.2,9.5,2.25
422,Benin,2020,"Seats held by women in national parliament, as of February (%)",7.2,9.5,2.25
423,Benin,2021,"Seats held by women in national parliament, as of February (%)",8.4,9.5,2.25
424,Benin,2022,"Seats held by women in national parliament, as of February (%)",7.4,9.5,2.25
425,Benin,2023,"Seats held by women in national parliament, as of February (%)",7.4,9.5,2.25
426,Bhutan,2000,"Seats held by women in national parliament, as of February (%)",2,27.5,90.5
427,Bhutan,2005,"Seats held by women in national parliament, as of February (%)",9.3,27.5,90.5
428,Bhutan,2010,"Seats held by women in national parliament, as of February (%)",8.5,27.5,90.5
429,Bhutan,2015,"Seats held by women in national parliament, as of February (%)",8.5,27.5,90.5
430,Bhutan,2018,"Seats held by women in national parliament, as of February (%)",8.5,27.5,90.5
431,Bhutan,2020,"Seats held by women in national parliament, as of February (%)",14.9,27.5,90.5
432,Bhutan,2021,"Seats held by women in national parliament, as of February (%)",14.9,27.5,90.5
433,Bhutan,2022,"Seats held by women in national parliament, as of February (%)",17.4,27.5,90.5
434,Bhutan,2023,"Seats held by women in national parliament, as of February (%)",17.4,27.5,90.5
435,Bolivia,2000,"Seats held by women in national parliament, as of February (%)",11.5,-17,-65
436,Bolivia,2005,"Seats held by women in national parliament, as of February (%)",19.2,-17,-65
437,Bolivia,2010,"Seats held by women in national parliament, as of February (%)",22.3,-17,-65
438,Bolivia,2015,"Seats held by women in national parliament, as of February (%)",53.1,-17,-65
439,Bolivia,2018,"Seats held by women in national parliament, as of February (%)",53.1,-17,-65
440,Bolivia,2020,"Seats held by women in national parliament, as of February (%)",53.1,-17,-65
441,Bolivia,2021,"Seats held by women in national parliament, as of February (%)",46.2,-17,-65
442,Bolivia,2022,"Seats held by women in national parliament, as of February (%)",46.2,-17,-65
443,Bolivia,2023,"Seats held by women in national parliament, as of February (%)",46.2,-17,-65
444,Bosnia and Herzegovina,2000,"Seats held by women in national parliament, as of February (%)",7.1,44,18
445,Bosnia and Herzegovina,2005,"Seats held by women in national parliament, as of February (%)",16.7,44,18
446,Bosnia and Herzegovina,2010,"Seats held by women in national parliament, as of February (%)",19,44,18
447,Bosnia and Herzegovina,2015,"Seats held by women in national parliament, as of February (%)",21.4,44,18
448,Bosnia and Herzegovina,2018,"Seats held by women in national parliament, as of February (%)",21.4,44,18
449,Bosnia and Herzegovina,2020,"Seats held by women in national parliament, as of February (%)",21.4,44,18
450,Bosnia and Herzegovina,2021,"Seats held by women in national parliament, as of February (%)",26.2,44,18
451,Bosnia and Herzegovina,2022,"Seats held by women in national parliament, as of February (%)",26.2,44,18
452,Bosnia and Herzegovina,2023,"Seats held by women in national parliament, as of February (%)",19.1,44,18
453,Botswana,2000,"Seats held by women in national parliament, as of February (%)",17,-22,24
454,Botswana,2005,"Seats held by women in national parliament, as of February (%)",11.1,-22,24
455,Botswana,2010,"Seats held by women in national parliament, as of February (%)",7.9,-22,24
456,Botswana,2015,"Seats held by women in national parliament, as of February (%)",9.5,-22,24
457,Botswana,2018,"Seats held by women in national parliament, as of February (%)",9.5,-22,24
458,Botswana,2020,"Seats held by women in national parliament, as of February (%)",10.8,-22,24
459,Botswana,2021,"Seats held by women in national parliament, as of February (%)",10.8,-22,24
460,Botswana,2022,"Seats held by women in national parliament, as of February (%)",11.1,-22,24
461,Botswana,2023,"Seats held by women in national parliament, as of February (%)",11.1,-22,24
462,Brazil,2000,"Seats held by women in national parliament, as of February (%)",5.7,-10,-55
463,Brazil,2005,"Seats held by women in national parliament, as of February (%)",8.6,-10,-55
464,Brazil,2010,"Seats held by women in national parliament, as of February (%)",8.8,-10,-55
465,Brazil,2015,"Seats held by women in national parliament, as of February (%)",9,-10,-55
466,Brazil,2018,"Seats held by women in national parliament, as of February (%)",10.7,-10,-55
467,Brazil,2020,"Seats held by women in national parliament, as of February (%)",14.6,-10,-55
468,Brazil,2021,"Seats held by women in national parliament, as of February (%)",15.2,-10,-55
469,Brazil,2022,"Seats held by women in national parliament, as of February (%)",14.8,-10,-55
470,Brazil,2023,"Seats held by women in national parliament, as of February (%)",17.7,-10,-55
471,Brunei Darussalam,2018,"Seats held by women in national parliament, as of February (%)",9.1,4.5,114.67
472,Brunei Darussalam,2020,"Seats held by women in national parliament, as of February (%)",9.1,4.5,114.67
473,Brunei Darussalam,2021,"Seats held by women in national parliament, as of February (%)",9.1,4.5,114.67
474,Brunei Darussalam,2022,"Seats held by women in national parliament, as of February (%)",9.1,4.5,114.67
475,Brunei Darussalam,2023,"Seats held by women in national parliament, as of February (%)",9.1,4.5,114.67
476,Bulgaria,2000,"Seats held by women in national parliament, as of February (%)",10.8,43,25
477,Bulgaria,2005,"Seats held by women in national parliament, as of February (%)",26.3,43,25
478,Bulgaria,2010,"Seats held by women in national parliament, as of February (%)",20.8,43,25
479,Bulgaria,2015,"Seats held by women in national parliament, as of February (%)",20.4,43,25
480,Bulgaria,2018,"Seats held by women in national parliament, as of February (%)",23.8,43,25
481,Bulgaria,2020,"Seats held by women in national parliament, as of February (%)",26.7,43,25
482,Bulgaria,2021,"Seats held by women in national parliament, as of February (%)",27.1,43,25
483,Bulgaria,2022,"Seats held by women in national parliament, as of February (%)",22.5,43,25
484,Bulgaria,2023,"Seats held by women in national parliament, as of February (%)",24.2,43,25
485,Burkina Faso,2000,"Seats held by women in national parliament, as of February (%)",8.1,13,-2
486,Burkina Faso,2005,"Seats held by women in national parliament, as of February (%)",11.7,13,-2
487,Burkina Faso,2010,"Seats held by women in national parliament, as of February (%)",15.3,13,-2
488,Burkina Faso,2015,"Seats held by women in national parliament, as of February (%)",13.3,13,-2
489,Burkina Faso,2018,"Seats held by women in national parliament, as of February (%)",11,13,-2
490,Burkina Faso,2020,"Seats held by women in national parliament, as of February (%)",13.4,13,-2
491,Burkina Faso,2021,"Seats held by women in national parliament, as of February (%)",6.3,13,-2
492,Burkina Faso,2022,"Seats held by women in national parliament, as of February (%)",6.3,13,-2
493,Burkina Faso,2023,"Seats held by women in national parliament, as of February (%)",16.9,13,-2
494,Burundi,2000,"Seats held by women in national parliament, as of February (%)",6,-3.5,30
495,Burundi,2005,"Seats held by women in national parliament, as of February (%)",18.4,-3.5,30
496,Burundi,2010,"Seats held by women in national parliament, as of February (%)",31.4,-3.5,30
497,Burundi,2015,"Seats held by women in national parliament, as of February (%)",30.5,-3.5,30
498,Burundi,2018,"Seats held by women in national parliament, as of February (%)",36.4,-3.5,30
499,Burundi,2020,"Seats held by women in national parliament, as of February (%)",36.4,-3.5,30
500,Burundi,2021,"Seats held by women in national parliament, as of February (%)",38.2,-3.5,30
501,Burundi,2022,"Seats held by women in national parliament, as of February (%)",38.2,-3.5,30
502,Burundi,2023,"Seats held by women in national parliament, as of February (%)",38.2,-3.5,30
503,Cabo Verde,2000,"Seats held by women in national parliament, as of February (%)",11.1,,
504,Cabo Verde,2005,"Seats held by women in national parliament, as of February (%)",11.1,,
505,Cabo Verde,2010,"Seats held by women in national parliament, as of February (%)",18.1,,
506,Cabo Verde,2015,"Seats held by women in national parliament, as of February (%)",20.8,,
507,Cabo Verde,2018,"Seats held by women in national parliament, as of February (%)",23.6,,
508,Cabo Verde,2020,"Seats held by women in national parliament, as of February (%)",25,,
509,Cabo Verde,2021,"Seats held by women in national parliament, as of February (%)",26.4,,
510,Cabo Verde,2022,"Seats held by women in national parliament, as of February (%)",38.9,,
511,Cabo Verde,2023,"Seats held by women in national parliament, as of February (%)",41.7,,
512,Cambodia,2000,"Seats held by women in national parliament, as of February (%)",8.2,13,105
513,Cambodia,2005,"Seats held by women in national parliament, as of February (%)",9.8,13,105
514,Cambodia,2010,"Seats held by women in national parliament, as of February (%)",21.1,13,105
515,Cambodia,2015,"Seats held by women in national parliament, as of February (%)",20.3,13,105
516,Cambodia,2018,"Seats held by women in national parliament, as of February (%)",20.3,13,105
517,Cambodia,2020,"Seats held by women in national parliament, as of February (%)",20,13,105
518,Cambodia,2021,"Seats held by women in national parliament, as of February (%)",21.6,13,105
519,Cambodia,2022,"Seats held by women in national parliament, as of February (%)",20.8,13,105
520,Cambodia,2023,"Seats held by women in national parliament, as of February (%)",20.8,13,105
521,Cameroon,2000,"Seats held by women in national parliament, as of February (%)",5.6,6,12
522,Cameroon,2005,"Seats held by women in national parliament, as of February (%)",8.9,6,12
523,Cameroon,2010,"Seats held by women in national parliament, as of February (%)",13.9,6,12
524,Cameroon,2015,"Seats held by women in national parliament, as of February (%)",31.1,6,12
525,Cameroon,2018,"Seats held by women in national parliament, as of February (%)",31.1,6,12
526,Cameroon,2020,"Seats held by women in national parliament, as of February (%)",31.1,6,12
527,Cameroon,2021,"Seats held by women in national parliament, as of February (%)",33.9,6,12
528,Cameroon,2022,"Seats held by women in national parliament, as of February (%)",33.9,6,12
529,Cameroon,2023,"Seats held by women in national parliament, as of February (%)",33.9,6,12
530,Canada,2000,"Seats held by women in national parliament, as of February (%)",20.6,60,-95
531,Canada,2005,"Seats held by women in national parliament, as of February (%)",21.1,60,-95
532,Canada,2010,"Seats held by women in national parliament, as of February (%)",22.1,60,-95
533,Canada,2015,"Seats held by women in national parliament, as of February (%)",25.2,60,-95
534,Canada,2018,"Seats held by women in national parliament, as of February (%)",27,60,-95
535,Canada,2020,"Seats held by women in national parliament, as of February (%)",29,60,-95
536,Canada,2021,"Seats held by women in national parliament, as of February (%)",29.6,60,-95
537,Canada,2022,"Seats held by women in national parliament, as of February (%)",30.5,60,-95
538,Canada,2023,"Seats held by women in national parliament, as of February (%)",30.7,60,-95
539,Central African Republic,2000,"Seats held by women in national parliament, as of February (%)",7.3,7,21
540,Central African Republic,2010,"Seats held by women in national parliament, as of February (%)",9.6,7,21
541,Central African Republic,2018,"Seats held by women in national parliament, as of February (%)",8.6,7,21
542,Central African Republic,2020,"Seats held by women in national parliament, as of February (%)",8.6,7,21
543,Central African Republic,2021,"Seats held by women in national parliament, as of February (%)",8.6,7,21
544,Central African Republic,2022,"Seats held by women in national parliament, as of February (%)",12.9,7,21
545,Central African Republic,2023,"Seats held by women in national parliament, as of February (%)",12.9,7,21
546,Chad,2000,"Seats held by women in national parliament, as of February (%)",2.4,15,19
547,Chad,2005,"Seats held by women in national parliament, as of February (%)",6.5,15,19
548,Chad,2010,"Seats held by women in national parliament, as of February (%)",5.2,15,19
549,Chad,2015,"Seats held by women in national parliament, as of February (%)",14.9,15,19
550,Chad,2018,"Seats held by women in national parliament, as of February (%)",12.8,15,19
551,Chad,2020,"Seats held by women in national parliament, as of February (%)",15.4,15,19
552,Chad,2021,"Seats held by women in national parliament, as of February (%)",15.4,15,19
553,Chad,2022,"Seats held by women in national parliament, as of February (%)",31.2,15,19
554,Chad,2023,"Seats held by women in national parliament, as of February (%)",25.9,15,19
555,Chile,2000,"Seats held by women in national parliament, as of February (%)",10.8,-30,-71
556,Chile,2005,"Seats held by women in national parliament, as of February (%)",12.5,-30,-71
557,Chile,2010,"Seats held by women in national parliament, as of February (%)",14.2,-30,-71
558,Chile,2015,"Seats held by women in national parliament, as of February (%)",15.8,-30,-71
559,Chile,2020,"Seats held by women in national parliament, as of February (%)",22.6,-30,-71
560,Chile,2021,"Seats held by women in national parliament, as of February (%)",22.6,-30,-71
561,Chile,2022,"Seats held by women in national parliament, as of February (%)",35.5,-30,-71
562,Chile,2023,"Seats held by women in national parliament, as of February (%)",35.5,-30,-71
563,China,2000,"Seats held by women in national parliament, as of February (%)",21.8,35,105
564,China,2005,"Seats held by women in national parliament, as of February (%)",20.2,35,105
565,China,2010,"Seats held by women in national parliament, as of February (%)",21.3,35,105
566,China,2015,"Seats held by women in national parliament, as of February (%)",23.6,35,105
567,China,2018,"Seats held by women in national parliament, as of February (%)",24.2,35,105
568,China,2020,"Seats held by women in national parliament, as of February (%)",24.9,35,105
569,China,2021,"Seats held by women in national parliament, as of February (%)",24.9,35,105
570,China,2022,"Seats held by women in national parliament, as of February (%)",24.9,35,105
571,China,2023,"Seats held by women in national parliament, as of February (%)",24.9,35,105
572,Colombia,2000,"Seats held by women in national parliament, as of February (%)",11.8,4,-72
573,Colombia,2005,"Seats held by women in national parliament, as of February (%)",12,4,-72
574,Colombia,2010,"Seats held by women in national parliament, as of February (%)",8.4,4,-72
575,Colombia,2015,"Seats held by women in national parliament, as of February (%)",19.9,4,-72
576,Colombia,2018,"Seats held by women in national parliament, as of February (%)",18.7,4,-72
577,Colombia,2020,"Seats held by women in national parliament, as of February (%)",18.3,4,-72
578,Colombia,2021,"Seats held by women in national parliament, as of February (%)",18.8,4,-72
579,Colombia,2022,"Seats held by women in national parliament, as of February (%)",18.6,4,-72
580,Colombia,2023,"Seats held by women in national parliament, as of February (%)",28.9,4,-72
581,Comoros,2005,"Seats held by women in national parliament, as of February (%)",3,-12.17,44.25
582,Comoros,2010,"Seats held by women in national parliament, as of February (%)",3,-12.17,44.25
583,Comoros,2018,"Seats held by women in national parliament, as of February (%)",6.1,-12.17,44.25
584,Comoros,2020,"Seats held by women in national parliament, as of February (%)",6.1,-12.17,44.25
585,Comoros,2021,"Seats held by women in national parliament, as of February (%)",16.7,-12.17,44.25
586,Comoros,2022,"Seats held by women in national parliament, as of February (%)",16.7,-12.17,44.25
587,Comoros,2023,"Seats held by women in national parliament, as of February (%)",16.7,-12.17,44.25
588,Congo,2000,"Seats held by women in national parliament, as of February (%)",12,-1,15
589,Congo,2005,"Seats held by women in national parliament, as of February (%)",8.5,-1,15
590,Congo,2010,"Seats held by women in national parliament, as of February (%)",7.3,-1,15
591,Congo,2015,"Seats held by women in national parliament, as of February (%)",7.4,-1,15
592,Congo,2018,"Seats held by women in national parliament, as of February (%)",11.3,-1,15
593,Congo,2020,"Seats held by women in national parliament, as of February (%)",11.3,-1,15
594,Congo,2021,"Seats held by women in national parliament, as of February (%)",11.3,-1,15
595,Congo,2022,"Seats held by women in national parliament, as of February (%)",11.3,-1,15
596,Congo,2023,"Seats held by women in national parliament, as of February (%)",14.6,-1,15
597,Costa Rica,2000,"Seats held by women in national parliament, as of February (%)",19.3,10,-84
598,Costa Rica,2005,"Seats held by women in national parliament, as of February (%)",35.1,10,-84
599,Costa Rica,2010,"Seats held by women in national parliament, as of February (%)",36.8,10,-84
600,Costa Rica,2015,"Seats held by women in national parliament, as of February (%)",33.3,10,-84
601,Costa Rica,2018,"Seats held by women in national parliament, as of February (%)",35.1,10,-84
602,Costa Rica,2020,"Seats held by women in national parliament, as of February (%)",45.6,10,-84
603,Costa Rica,2021,"Seats held by women in national parliament, as of February (%)",45.6,10,-84
604,Costa Rica,2022,"Seats held by women in national parliament, as of February (%)",45.6,10,-84
